timestamp,overall_score,neck_alignment,shoulder_level,forward_head,spine_straight,body_lean,feedback_count,has_issues
2025-06-10T20:13:20.324631,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.355204,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.401328,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.432554,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.477989,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.508619,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.523893,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.569912,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.600674,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.631111,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.646326,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.707724,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.723577,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.768975,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.799247,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.830536,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.877238,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.908359,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.939650,100,100,100,100,100,100,0,False
2025-06-10T20:13:20.970020,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.000888,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.032372,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.078269,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.109202,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.139386,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.170503,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.200932,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.248353,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.279566,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.309527,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.324987,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.355741,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.386259,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.401320,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.448239,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.494284,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.541002,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.572482,100,100,100,100,100,100,0,False
2025-06-10T20:13:21.603803,88,100,44.433510303497314,100,100,100,1,True
2025-06-10T20:13:21.634473,88,100,40,100,100,100,1,True
2025-06-10T20:13:21.665522,88,100,40,100,100,100,1,True
2025-06-10T20:13:21.711270,88,100,40,100,100,100,1,True
2025-06-10T20:13:21.726152,88,100,40,100,100,100,1,True
2025-06-10T20:13:21.757394,88,100,40,100,100,100,1,True
2025-06-10T20:13:21.802299,88,100,40,100,100,100,1,True
2025-06-10T20:13:21.849684,88,100,40,100,100,100,1,True
2025-06-10T20:13:21.880861,88,100,40,100,100,100,1,True
2025-06-10T20:13:21.911720,88,100,40,100,100,100,1,True
2025-06-10T20:13:21.942512,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.005551,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.037347,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.067538,88,100,40,100,100,100,1,True
